county,floor,log_radon
AITKIN,1,0.8329091229351041
AITKIN,0,0.8329091229351041
AITKIN,0,1.0986122886681098
AITKIN,0,0.09531017980432493
ANOKA,0,1.1631508098056809
ANOKA,0,0.9555114450274363
ANOKA,0,0.47000362924573563
ANOKA,0,0.09531017980432493
ANOKA,0,-0.22314355131420985
ANOKA,0,0.26236426446749106
ANOKA,0,0.26236426446749106
ANOKA,0,0.336472236621213
ANOKA,0,0.4054651081081644
ANOKA,0,-0.6931471805599453
ANOKA,0,0.1823215567939548
ANOKA,0,1.5260563034950492
ANOKA,0,0.336472236621213
ANOKA,0,0.7884573603642703
ANOKA,0,1.791759469228055
ANOKA,0,1.2237754316221157
ANOKA,0,0.6418538861723948
ANOKA,0,1.7047480922384253
ANOKA,0,1.856297990365626
ANOKA,0,0.6931471805599453
ANOKA,0,1.9021075263969203
ANOKA,0,1.1631508098056809
ANOKA,0,1.9315214116032136
ANOKA,0,1.9600947840472698
ANOKA,0,2.0541237336955462
ANOKA,0,1.667706820558076
ANOKA,0,1.5260563034950492
ANOKA,0,1.5040773967762742
ANOKA,0,1.0647107369924282
ANOKA,0,2.1041341542702074
ANOKA,0,0.5306282510621705
ANOKA,0,1.4586150226995167
ANOKA,0,1.7047480922384253
ANOKA,0,1.410986973710262
ANOKA,0,0.8754687373538999
ANOKA,0,1.0986122886681098
ANOKA,0,0.4054651081081644
ANOKA,0,1.2237754316221157
ANOKA,0,1.0986122886681098
ANOKA,1,0.6418538861723948
ANOKA,1,-1.203972804325936
ANOKA,0,0.9162907318741551
ANOKA,1,0.1823215567939548
ANOKA,0,0.8329091229351041
ANOKA,0,-0.35667494393873245
ANOKA,0,0.5877866649021191
ANOKA,0,1.0986122886681098
ANOKA,0,0.8329091229351041
ANOKA,0,0.5877866649021191
ANOKA,0,0.4054651081081644
ANOKA,0,0.6931471805599453
ANOKA,0,0.6418538861723948
BECKER,1,0.26236426446749106
BECKER,0,1.4816045409242153
BECKER,1,1.5260563034950492
BELTRAMI,0,1.856297990365626
BELTRAMI,0,1.5475625087160128
BELTRAMI,0,1.7578579175523736
BELTRAMI,1,0.8329091229351041
BELTRAMI,1,-0.6931471805599453
BELTRAMI,1,1.5475625087160128
BELTRAMI,1,1.5040773967762742
BENTON,0,1.9021075263969203
BENTON,0,1.0296194171811583
BENTON,1,1.0986122886681098
BENTON,0,1.0986122886681098
BIG STONE,0,1.9878743481543455
BIG STONE,0,1.62924053973028
BIG STONE,0,0.9932517730102834
BLUE EARTH,0,1.62924053973028
BLUE EARTH,0,2.5726122302071057
BLUE EARTH,0,1.9878743481543455
BLUE EARTH,0,1.9315214116032136
BLUE EARTH,0,2.5572273113676265
BLUE EARTH,1,1.7749523509116736
BLUE EARTH,0,2.2617630984737906
BLUE EARTH,0,1.8082887711792655
BLUE EARTH,0,1.3609765531356006
BLUE EARTH,1,2.667228206581955
BLUE EARTH,0,0.6418538861723948
BLUE EARTH,0,1.9459101490553132
BLUE EARTH,0,1.5686159179138452
BLUE EARTH,0,2.2617630984737906
BROWN,1,0.9555114450274363
BROWN,0,1.916922612182061
BROWN,1,1.410986973710262
BROWN,0,2.322387720290225
CARLTON,0,0.8329091229351041
CARLTON,0,0.6418538861723948
CARLTON,0,1.252762968495368
CARLTON,1,1.7404661748405044
CARLTON,0,1.4816045409242153
CARLTON,0,1.3862943611198906
CARLTON,0,0.336472236621213
CARLTON,0,1.4586150226995167
CARLTON,0,-0.10536051565782628
CARLTON,0,0.7419373447293773
CARVER,0,0.5306282510621705
CARVER,0,2.5649493574615367
CARVER,1,2.6946271807700692
CARVER,1,1.5686159179138452
CARVER,0,2.272125885509337
CARVER,1,-2.3025850929940455
CASS,0,1.3350010667323402
CASS,0,2.0149030205422647
CASS,0,0.6931471805599453
CASS,0,1.6863989535702286
CASS,0,1.410986973710262
CHIPPEWA,0,2.0541237336955462
CHIPPEWA,0,0.4054651081081644
CHIPPEWA,0,2.312535423847214
CHIPPEWA,0,2.2512917986064953
CHISAGO,0,-0.10536051565782628
CHISAGO,0,1.5040773967762742
CHISAGO,0,1.62924053973028
CHISAGO,0,0.7884573603642703
CHISAGO,0,0.5877866649021191
CHISAGO,0,2.1041341542702074
CLAY,1,0.0
CLAY,0,2.5649493574615367
CLAY,0,0.9932517730102834
CLAY,1,1.2809338454620642
CLAY,0,3.2846635654062037
CLAY,0,0.47000362924573563
CLAY,0,2.5726122302071057
CLAY,0,2.186051276738094
CLAY,0,2.975529566236472
CLAY,1,0.9555114450274363
CLAY,0,2.2082744135228043
CLAY,0,2.580216829592325
CLAY,0,1.308332819650179
CLAY,1,1.9459101490553132
CLEARWATER,1,1.5892352051165808
CLEARWATER,0,1.252762968495368
CLEARWATER,1,0.0
CLEARWATER,0,1.252762968495368
COOK,0,1.0296194171811583
